ID,Width,Height,Name
70,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0069.png
71,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0070.png
72,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0071.png
73,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0072.png
74,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0073.png
75,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0074.png
76,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0075.png
77,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0076.png
78,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0077.png
79,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0078.png
80,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0079.png
81,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0080.png
82,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0081.png
83,960,540,/data/home/cwk/workplace/Reconstruction/cesium/dense/images/ue_synced_0082.png
